collatz_weight,c_real,status,final_real,final_imag,max_abs,tail_max_delta
1.000000,0.02,bounded,0.999999687037,0,1,0.999999527036
1.000000,0.0220912124583,bounded,0.999999545986,0,1,0.99999930782
1.000000,0.0241824249166,bounded,0.99999936355,0,1,0.999999021568
1.000000,0.0262736373749,bounded,0.999999132918,0,1,0.999998656393
1.000000,0.0283648498331,bounded,0.999998846902,0,1,0.99999819957
1.000000,0.0304560622914,bounded,0.999998497959,0,1,0.999997637556
1.000000,0.0325472747497,bounded,0.999998078203,0,1,0.999996956011
1.000000,0.034638487208,bounded,0.999997579425,0,1,0.99999613981
1.000000,0.0367296996663,bounded,0.999996993107,0,1,0.99999517306
1.000000,0.0388209121246,bounded,0.999996310436,0,1,0.999994039114
1.000000,0.0409121245829,bounded,0.999995522318,0,1,0.999992720585
1.000000,0.0430033370412,bounded,0.99999461939,0,1,0.999991199354
1.000000,0.0450945494994,bounded,0.999993592033,0,1,0.999989456589
1.000000,0.0471857619577,bounded,0.999992430379,0,1,0.999987472751
1.000000,0.049276974416,bounded,0.999991124329,0,1,0.999985227603
1.000000,0.0513681868743,bounded,0.999989663554,0,1,0.999982700225
1.000000,0.0534593993326,bounded,0.999988037514,0,1,0.999979869021
1.000000,0.0555506117909,bounded,0.999986235459,0,1,0.999976711726
1.000000,0.0576418242492,bounded,0.999984246444,0,1,0.999973205418
1.000000,0.0597330367075,bounded,0.999982059332,0,1,0.999969326523
1.000000,0.0618242491657,bounded,0.999979662808,0,1,0.999965050825
1.000000,0.063915461624,bounded,0.999977045381,0,1,0.999960353473
1.000000,0.0660066740823,bounded,0.999974195394,0,1,0.999955208987
1.000000,0.0680978865406,bounded,0.999971101031,0,1,0.999949591264
1.000000,0.0701890989989,bounded,0.999967750326,0,1,0.999943473589
1.000000,0.0722803114572,bounded,0.999964131163,0,1,0.999936828636
1.000000,0.0743715239155,bounded,0.99996023129,0,1,0.999929628474
1.000000,0.0764627363737,bounded,0.999956038319,0,1,0.999921844578
1.000000,0.078553948832,bounded,0.999951539736,0,1,0.999913447828
1.000000,0.0806451612903,bounded,0.999946722904,0,1,0.999904408518
1.000000,0.0827363737486,bounded,0.999941575069,0,1,0.999894696358
1.000000,0.0848275862069,bounded,0.999936083366,0,1,0.999884280483
1.000000,0.0869187986652,bounded,0.999930234822,0,1,0.999873129453
1.000000,0.0890100111235,bounded,0.999924016363,0,1,0.999861211257
1.000000,0.0911012235818,bounded,0.999917414817,0,1,0.999848493323
1.000000,0.09319243604,bounded,0.999910416921,0,1,0.999834942514
1.000000,0.0952836484983,bounded,0.99990300932,0,1,0.999820525137
1.000000,0.0973748609566,bounded,0.999895178576,0,1,0.999805206944
1.000000,0.0994660734149,bounded,0.99988691117,0,1,0.999788953136
1.000000,0.101557285873,bounded,0.999878193507,0,1,0.999771728365
1.000000,0.103648498331,bounded,0.999869011916,0,1,0.999753496738
1.000000,0.10573971079,bounded,0.999859352658,0,1,0.99973422182
1.000000,0.107830923248,bounded,0.999849201926,0,1,0.999713866634
1.000000,0.109922135706,bounded,0.999838545851,0,1,0.999692393667
1.000000,0.112013348165,bounded,0.999827370501,0,1,0.999669764869
1.000000,0.114104560623,bounded,0.999815661887,0,1,0.999645941656
1.000000,0.116195773081,bounded,0.999803405966,0,1,0.999620884913
1.000000,0.118286985539,bounded,0.999790588641,0,1,0.999594554994
1.000000,0.120378197998,bounded,0.999777195766,0,1,0.999566911723
1.000000,0.122469410456,bounded,0.999763213147,0,1,0.999537914398
1.000000,0.124560622914,bounded,0.999748626543,0,1,0.999507521791
1.000000,0.126651835373,bounded,0.999733421672,0,1,0.999475692146
1.000000,0.128743047831,bounded,0.999717584209,0,1,0.999442383187
1.000000,0.130834260289,bounded,0.999701099788,0,1,0.999407552109
1.000000,0.132925472747,bounded,0.999683954008,0,1,0.999371155588
1.000000,0.135016685206,bounded,0.999666132429,0,1,0.999333149776
1.000000,0.137107897664,bounded,0.999647620576,0,1,0.999293490302
1.000000,0.139199110122,bounded,0.999628403942,0,1,0.999252132273
1.000000,0.141290322581,bounded,0.999608467986,0,1,0.999209030274
1.000000,0.143381535039,bounded,0.999587798137,0,1,0.999164138368
1.000000,0.145472747497,bounded,0.999566379791,0,1,0.999117410095
1.000000,0.147563959956,bounded,0.999544198317,0,1,0.999068798472
1.000000,0.149655172414,bounded,0.999521239055,0,1,0.999018255993
1.000000,0.151746384872,bounded,0.999497487314,0,1,0.998965734625
1.000000,0.15383759733,bounded,0.999472928378,0,1,0.998911185814
1.000000,0.155928809789,bounded,0.999447547503,0,1,0.998854560477
1.000000,0.158020022247,bounded,0.999421329917,0,1,0.998795809004
1.000000,0.160111234705,bounded,0.999394260824,0,1,0.998734881257
1.000000,0.162202447164,bounded,0.999366325398,0,1,0.998671726569
1.000000,0.164293659622,bounded,0.999337508786,0,1,0.998606293741
1.000000,0.16638487208,bounded,0.999307796112,0,1,0.99853853104
1.000000,0.168476084538,bounded,0.999277172467,0,1,0.998468386198
1.000000,0.170567296997,bounded,0.999245622919,0,1,0.998395806412
1.000000,0.172658509455,bounded,0.999213132505,0,1,0.99832073834
1.000000,0.174749721913,bounded,0.999179686234,0,1,0.998243128096
1.000000,0.176840934372,bounded,0.999145269085,0,1,0.998162921254
1.000000,0.17893214683,bounded,0.999109866007,0,1,0.99808006284
1.000000,0.181023359288,bounded,0.999073461917,0,1,0.997994497331
1.000000,0.183114571746,bounded,0.999036041701,0,1,0.997906168656
1.000000,0.185205784205,bounded,0.998997590207,0,1,0.997815020185
1.000000,0.187296996663,bounded,0.998958092253,0,1,0.997720994734
1.000000,0.189388209121,bounded,0.998917532617,0,1,0.997624034557
1.000000,0.19147942158,bounded,0.998875896039,0,1,0.997524081344
1.000000,0.193570634038,bounded,0.998833167221,0,1,0.997421076219
1.000000,0.195661846496,bounded,0.998789330823,0,1,0.997314959734
1.000000,0.197753058954,bounded,0.998744371458,0,1,0.997205671865
