collatz_weight,interval_lo,interval_hi,interval_width,interval_points,extend_below_exp_neg_e,extend_above_exp_pos_inv_e,extend_above_exp_neg_inv_e
1.000000,0.772836484983,1.12206896552,0.349232480534,168,0,0,0.429868337962
0.800000,0.728921023359,1.15134593993,0.422424916574,203,0,0,0.459145312378
0.600000,0.666184649611,1.20362625139,0.53744160178,258,0,0,0.511425623835
0.400000,0.563715239155,1.44620689655,0.882491657397,423,0,0.00153903554196,0.754006268996
0.200000,0.383870967742,1.47130144605,1.08743047831,521,0,0.0266335850414,0.779100818496
0.000000,0.101557285873,1.44202447164,1.34046718576,642,0,0,0.74982384408
