id,re,im,spectral_radius,eig1,eig2
0,12.049,2.441,0.0,0j,0j
1,1.0,0.0,23.134821293403544,(23.134816835579386+0j),(23.134821293403544+0j)
2,0.0,0.0,0.31363737829082083,(0.31363737829082083+0j),(0.31363721820457524+0j)
